title,date,url,author,section
História política de Lula é contada em fotos do Leilão Lula Livre,"
4 de abril de 2019 ",https://www.cartacapital.com.br/politica/historia-politica-de-lula-e-contada-em-fotos-do-leilao-lula-livre/,Giovanna Galvani,Política
16 filmes essenciais para entender o que foi a ditadura no Brasil,"
31 de março de 2019 ",https://www.cartacapital.com.br/sociedade/16-filmes-essenciais-para-entender-o-que-foi-a-ditadura-no-brasil/,Alexandre Putti,Sociedade
Documentário resgata olhares sobre a ditadura e a Lei de Anistia. Assista﻿,"
31 de março de 2019 ",https://www.cartacapital.com.br/sociedade/documentario-resgata-olhares-sobre-a-ditadura-e-a-lei-de-anistia-assista%ef%bb%bf/,Alexandre Putti,Sociedade
7 crimes que derrubam a tese de que a ditadura só perseguiu “terroristas”,"
31 de março de 2019 ",https://www.cartacapital.com.br/politica/7-crimes-que-derrubam-a-tese-de-que-a-ditadura-so-perseguiu-terroristas/,Thais Reis Oliveira,Política
Exército envia ofício aos quartéis e mantém comemoração do golpe de 64,"
28 de março de 2019 ",https://www.cartacapital.com.br/politica/exercito-envia-oficio-aos-quarteis-e-mantem-comemoracao-ao-golpe-de-64/,Alexandre Putti,Política
"Atacado por Mourão, o salário mínimo do País é um dos menores do mundo","
27 de março de 2019 ",https://www.cartacapital.com.br/economia/atacado-por-mourao-o-salario-minimo-do-pais-e-um-dos-menores-do-mundo/,Redação,Economia
Uruguai demite cúpula militar após omissão sobre crime na ditadura,"
2 de abril de 2019 ",https://www.cartacapital.com.br/mundo/uruguai-demite-cupula-militar-apos-omissao-sobre-crime-na-ditadura/,Deutsche Welle,Mundo
Ministério Público: celebrar ditadura é crime de responsabilidade,"
26 de março de 2019 ",https://www.cartacapital.com.br/politica/para-o-mpf-celebracao-do-golpe-configura-crime-de-responsabilidade/,Thaís Chaves,Política
"“O Brasil, lamentavelmente, entrou no jogo eleitoral de Israel”","
2 de abril de 2019 ",https://www.cartacapital.com.br/mundo/o-brasil-lamentavelmente-entrou-no-jogo-eleitoral-de-israel/,René Ruschel,Mundo
Bolsonaro elogia militares da Ditadura e brada: “Esquerda nunca mais”,"
27 de fevereiro de 2019 ",https://www.cartacapital.com.br/politica/bolsonaro-elogia-militares-da-ditadura-e-brada-esquerda-nunca-mais/,Thaís Chaves,Política
